loss,mse,val_loss,val_mse
0.9884946513487518,0.9813414812088013,0.9379154103267399,0.925033688545227
0.9147890321336354,0.888370931148529,0.9102375299001225,0.875258207321167
0.8964311450598214,0.8576875925064087,0.9021089609551675,0.8615557551383972
0.8896395232121014,0.8470348119735718,0.8989868908749064,0.8551397323608398
0.8867260425866829,0.8412438631057739,0.8976803593302566,0.8515635132789612
0.8854476579401558,0.8380038738250732,0.8970751367018222,0.8490760326385498
0.8849104812242112,0.8358814120292664,0.897049188896976,0.8481384515762329
0.8846376318051916,0.8348716497421265,0.8968220877397356,0.8471242785453796
0.8844988565772085,0.8339689373970032,0.8968071514254242,0.8467497825622559
0.8844595420481641,0.8337138891220093,0.8967533295510777,0.8463983535766602

