MF_Adam,MF_Adam_noise,MF_SGD_noise,MF_SGD
0.3936952645331463,0.3819393334683454,0.3304898469259228,0.3641473739324577
0.3924060636894853,0.3821616094758732,0.3313641325555319,0.3646610784831885
0.3947572499024455,0.3833520209828551,0.3321742051162997,0.36523405663592673
0.393922480007508,0.382077638539696,0.3330880064805805,0.3657477611866575
0.3931568626482457,0.3815589945221312,0.334026505179031,0.3661429185333735
0.3938286301376629,0.3834211735185304,0.3350292169463228,0.36661216788259876
0.3927221895668581,0.3829568636361391,0.3357651975045813,0.3670912961654919
0.3936853855994784,0.3845819482245086,0.3366049068663528,0.36766427431823007
0.3947720683029473,0.3820924569401979,0.3372569164884342,0.3681434026011232
0.3931667415819136,0.3844041274184864,0.3379533813120212,0.36866204661868796
0.3929148287733822,0.3815293577211275,0.3386893618702797,0.36907696183273975
0.3913835940548577,0.3831939580441687,0.3393907661607006,0.3695758479829687
0.3940015114768512,0.3822850961467219,0.3402205965888042,0.36998582373018657
0.3941348770813678,0.3824826748200799,0.340833090476214,0.3707020464211093
0.3939570562753456,0.3822801566798879,0.3414653422309596,0.37105274856631976
0.3931618021150797,0.382472795886412,0.3419988046490262,0.3714479059130357
0.3938088722703271,0.3852438367802579,0.3425964801359341,0.3718578816602536
0.3944559424255746,0.3829025295009656,0.3430509110846575,0.3722234022059659
0.3936409303979728,0.3827247086949434,0.3437374969745765,0.3728161382260399
0.3930580733115667,0.3827592849627811,0.3443697487293221,0.3732211745064238
0.395695748600896,0.3821467910753713,0.3448143007443776,0.37356199771796633
0.3926234002301791,0.3830210767049805,0.3453033079609387,0.3738386078606675
0.3942682426858845,0.3825567668225891,0.345960257049854,0.3741942494727119
0.392539429294002,0.3826209798914305,0.3464146879985774,0.37454989108475634
0.3933495018547698,0.3817565731954893,0.34694321094981,0.37494010896463836
0.3936014146633012,0.381875120399504,0.3475161891025483,0.3752117796405056
0.3930877101125704,0.3818998177336738,0.3480150752527772,0.37553284498471234
0.3944361845582387,0.3829321663019693,0.3485979323391833,0.37585391032891907
0.3931371047809099,0.3827098902944416,0.3491066974230801,0.3759823364666018
0.39372490133415,0.3829519241693052,0.3495611283718035,0.37630340181080857
0.3927419474341939,0.3835742969903828,0.3497438886446597,0.3764960410173326
0.3942435453517147,0.3822455804120503,0.3499661646521874,0.3766936196906906
0.3919960879422675,0.3804179776834888,0.3502230169275528,0.376846743162543
0.3931173469135741,0.3837768151305748,0.3505539612054275,0.37715792957308186
0.3940459666783567,0.3831248055084934,0.3510330894883206,0.37748887385095653
0.3932556519849247,0.3800672755382784,0.3513986100340329,0.37775560505998984
0.3922480007507989,0.3845374930230031,0.3518332831154205,0.3780964282715324
0.3928110999698692,0.3828432558989583,0.3524013218013248,0.37831376481222617
0.3943818504230653,0.3826506166924342,0.3526927503445278,0.37840761468207124
0.3944707608260764,0.3824579774859101,0.3529249052857234,0.37862989068959896
0.3925591871613378,0.3837669361969069,0.3533941546349487,0.3787484378936138
0.3939372984080098,0.3842016092782945,0.3537843725148307,0.3789558955006397
0.3932655309185926,0.3807489219613635,0.3542437429303881,0.37907444270465446
0.3942534242853826,0.381687420659814,0.3547080528127794,0.37929177924534824
0.3939718746758475,0.3814947814532899,0.3549846629554806,0.37943502378353283
0.3929494050412198,0.38365826792656,0.3554786096388755,0.37964742085739267
0.3940558456120246,0.3823295513482275,0.3557749776489126,0.3798845152654223
0.3944016082904011,0.3819343940015114,0.3560911035262853,0.3800672755382784
0.3927567658346958,0.3824085828175707,0.3564121688704921,0.38018088327545924
0.3934631095919506,0.3822357014783824,0.3567431131483667,0.38031918834680983
